id,content,status,wrong_desc,audit_desc,audit_score,anno_time,audi_time,annotator_id,auditor_id,project_id,task_id,confidence,smart_status
308607,"[""154844"", ""续航只有一个星期"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:08:50.635339,,11,4732,39026,0.9998548030853271,151
308653,"[""39691"", ""充满电待机时间大概10天左右"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:08:50.887819,,11,4732,39026,0.9995739459991455,151
308700,"[""155566"", ""续航能力:一天一冲"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:09:46.847896,,11,4732,39026,0.9993414878845215,151
308720,"[""154537"", ""续航一天下来也还有一半的电"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:09:46.958298,,11,4732,39026,0.9998072981834412,151
308797,"[""149902"", ""简单实用功能"", [""产品整体体验""]]",5,,[],1,,2022-04-19 01:07:19.274990,,11,4732,39026,0.9993959069252014,151
308805,"[""155136"", ""续航时间10天不成问题"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:07:19.412810,,11,4732,39026,0.999343991279602,151
308860,"[""188414"", ""这款华为手表外观非常好看"", [""产品设计整体感知""]]",5,,[],1,,2022-04-19 01:08:50.612846,,11,4732,39026,0.9991889595985413,151
308903,"[""56669"", ""可以2天左右"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:08:50.820328,,11,4732,39026,0.9994449615478516,151
308923,"[""91808"", ""待机时间太短"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:09:46.649737,,11,4732,39026,0.9992443323135376,151
309034,"[""155977"", ""续航能力达不到两周"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:07:19.113087,,11,4732,39026,0.9993074536323547,151
309039,"[""107466"", ""手表外形好看也很好用"", [""产品设计整体感知""]]",5,,[],1,,2022-04-19 01:07:19.150207,,11,4732,39026,0.9989970922470093,151
309050,"[""67344"", ""外形外观： 好"", [""产品设计整体感知""]]",5,,[],1,,2022-04-19 01:07:19.250049,,11,4732,39026,0.99934983253479,151
309116,"[""155298"", ""续航有点不够"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:08:50.624094,,11,4732,39026,0.999398410320282,151
309133,"[""154990"", ""续航就两天"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:08:50.729778,,11,4732,39026,0.9995629191398621,151
309272,"[""155146"", ""续航时间一周以上"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:07:19.003376,,11,4732,39026,0.9997854828834534,151
309285,"[""49744"", ""功能很齐全、智能"", [""产品整体体验""]]",5,,[],1,,2022-04-19 01:07:19.100676,,11,4732,39026,0.9991421699523926,151
309300,"[""76866"", ""实际使用续航5天不到"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:07:19.212439,,11,4732,39026,0.999272346496582,151
309301,"[""69353"", ""外形外观：还不错"", [""产品设计整体感知""]]",5,,[],1,,2022-04-19 01:07:19.238025,,11,4732,39026,0.9993293285369873,151
309309,"[""154626"", ""续航两周以上"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:07:19.286933,,11,4732,39026,0.9997395277023315,151
309317,"[""124663"", ""期待可以更久的续航"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:07:19.424810,,11,4732,39026,0.9995933771133423,151
309346,"[""185505"", ""这个宝贝续航不错"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:08:50.436639,,11,4732,39026,0.9991092681884766,151
309350,"[""104269"", ""戴在手上才特别舒服"", [""佩戴舒适度""]]",5,,[],1,,2022-04-19 01:08:50.469571,,11,4732,39026,0.9990796446800232,151
309357,"[""195480"", ""除了续航稍短"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:08:50.515256,,11,4732,39026,0.9990535974502563,151
309366,"[""162864"", ""而且颜值也很不错"", [""产品设计整体感知""]]",5,,[],1,,2022-04-19 01:08:50.569263,,11,4732,39026,0.9995343089103699,151
309410,"[""196842"", ""非常好用 充一次电能用好久"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:08:50.785120,,11,4732,39026,0.9993857145309448,151
309418,"[""48999"", ""功能也是棒棒的"", [""产品整体体验""]]",5,,[],1,,2022-04-19 01:08:50.854723,,11,4732,39026,0.9994789958000183,151
309446,"[""92732"", ""很多功能都用得着"", [""产品整体体验""]]",5,,[],1,,2022-04-19 01:09:46.708478,,11,4732,39026,0.9990732073783875,151
309539,"[""118022"", ""既轻又亲肤"", [""机身重量""]]",5,,"[""\u673a\u8eab\u91cd\u91cf"", ""\u673a\u8eab\u6750\u8d28""]",0,,2022-04-19 01:07:19.076096,,11,4732,39026,0.9991347789764404,152
309555,"[""127483"", ""正常功能应有尽有"", [""产品整体体验""]]",5,,[],1,,2022-04-19 01:07:19.200198,,11,4732,39026,0.9992074966430664,151
309581,"[""55035"", ""发觉这款最好看"", [""产品设计整体感知""]]",5,,[],1,,2022-04-19 01:07:20.052736,,11,4732,39026,0.9993325471878052,151
309625,"[""141288"", ""电用两天都不到就没了"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:08:50.601833,,11,4732,39026,0.9991310834884644,151
309726,"[""68255"", ""外形外观：好看精致"", [""产品设计整体感知""]]",5,,[],1,,2022-04-19 01:09:46.858773,,11,4732,39026,0.9991841912269592,151
309806,"[""178877"", ""轻度使用两个星期后还剩下15%的电"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:07:19.138393,,11,4732,39026,0.999009370803833,151
309807,"[""198293"", ""颜值好看够精致"", [""产品设计整体感知""]]",5,,[],1,,2022-04-19 01:07:19.162387,,11,4732,39026,0.9997341632843018,151
309850,"[""145509"", ""看起来还是挺好看的"", [""产品设计整体感知""]]",5,,[],1,,2022-04-19 01:08:50.365989,,11,4732,39026,0.9991108179092407,151
309951,"[""49117"", ""功能众多而且都很实用"", [""产品整体体验""]]",5,,[],1,,2022-04-19 01:09:46.674806,,11,4732,39026,0.9991576671600342,151
309959,"[""6914"", ""一次充电可以用2天"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:09:46.731551,,11,4732,39026,0.9995331764221191,151
310034,"[""141510"", ""电量也很充足"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:07:18.979240,,11,4732,39026,0.9990521669387817,151
310084,"[""172014"", ""表身极轻"", [""机身重量""]]",5,,[],1,,2022-04-19 01:07:19.388786,,11,4732,39026,0.9990254640579224,151
310089,"[""2110"", ""42MM刚好"", [""机身尺寸""]]",5,,[],1,,2022-04-19 01:07:19.736234,,11,4732,39026,0.9993619322776794,151
310092,"[""6986"", ""一次续航大概两天"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:07:20.028080,,11,4732,39026,0.9995014667510986,151
310097,"[""48735"", ""功能上也是很全面"", [""产品整体体验""]]",5,,[],1,,2022-04-19 01:07:20.065933,,11,4732,39026,0.9993945360183716,151
310108,"[""92679"", ""很多功能很实用"", [""产品整体体验""]]",5,,[],1,,2022-04-19 01:08:50.392151,,11,4732,39026,0.9995478391647339,151
310122,"[""86747"", ""希望待机可以再长一点"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:08:50.491770,,11,4732,39026,0.9990370273590088,151
310175,"[""68205"", ""外形外观：好不错"", [""产品设计整体感知""]]",5,,[],1,,2022-04-19 01:08:50.774183,,11,4732,39026,0.999467134475708,151
310333,"[""68732"", ""外形外观：是我喜欢的款"", [""产品设计整体感知""]]",5,,[],1,,2022-04-19 01:07:19.300197,,11,4732,39026,0.9995791912078857,151
310346,"[""69203"", ""外形外观：蛮好看真的"", [""产品设计整体感知""]]",5,,[],1,,2022-04-19 01:07:19.748885,,11,4732,39026,0.9993219375610352,151
310369,"[""145463"", ""看起来比手环好看太多了"", [""产品设计整体感知""]]",5,,[],1,,2022-04-19 01:08:50.403608,,11,4732,39026,0.9993807077407837,151
310410,"[""67573"", ""外形外观：出乎意料之外"", [""产品设计整体感知""]]",5,,[],1,,2022-04-19 01:08:50.717856,,11,4732,39026,0.999381422996521,151
310434,"[""155318"", ""续航正好一个星期"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:08:50.796385,,11,4732,39026,0.9993308782577515,151
310499,"[""109858"", ""手表重量特别轻"", [""机身重量""]]",5,,[],1,,2022-04-19 01:09:46.892063,,11,4732,39026,0.9990640878677368,151
310506,"[""6399"", ""一天耗电30%可以的"", [""续航整体感知""]]",5,,[],1,,2022-04-19 01:09:46.924063,,11,4732,39026,0.999238133430481,151
